asset_id,display_name,codes_and_names,inn,sponsor,sponsor_hq_city,sponsor_confidence,verification_tier,target,mechanism,modality,ot_mechanism_of_action,ot_drug_type,chembl_ids,indications_researched,conditions_in_trials,highest_phase,highest_phase_researched,highest_phase_in_ctgov,development_status,ex_china_rights,partner,latest_data,first_in_class_note,n_trials_ctgov,n_trials_recruiting_or_active,trial_statuses,earliest_nct,latest_nct,nct_ids,sources,notes
ABSK021,pimicotinib,ABSK021|pimicotinib,Pimicotinib,Abbisko Therapeutics,Shanghai,high,prior_knowledge,CSF1R,CSF1R kinase inhibitor,small molecule,,Small molecule,CHEMBL5314535|CHEMBL6068433,tenosynovial giant cell tumor | solid tumors,tenosynovial giant cell tumor | solid tumor | pancreatic cancer | graft versus host disease,phase 3,phase 1,phase 3,active,,,,,15,6,"{""RECRUITING"": 3, ""COMPLETED"": 9, ""ACTIVE_NOT_RECRUITING"": 2, ""ENROLLING_BY_INVITATION"": 1}",NCT04192344,NCT07499362,NCT04192344|NCT05280483|NCT05804045|NCT06089733|NCT06111274|NCT06186583|NCT06186804|NCT06322706|NCT06562946|NCT06694948|NCT06779253|NCT06884072|NCT07126249|NCT07210996|NCT07499362,,"Medium confidence on approval timing; treat 'approved (China)' as tentative rather than fully confirmed. || Pimicotinib (ABSK021) is Abbisko's lead CSF1R inhibitor; note the input's own indication list for this row (generic 'solid tumor') is broader/earlier-stage than pimicotinib's more advanced TGCT program, which may reflect an earlier trial phase captured here."
AN0025,AN0025,AN0025,,Adlai Nortye,"Hangzhou, Zhejiang (also Rockville, MD dual HQ)",medium,prior_knowledge,EP4 (prostaglandin E2 receptor 4),EP4 receptor antagonist (immuno-oncology),small molecule,,,,solid tumors | esophagogastric junction cancer | non-small cell lung cancer,solid tumors | solid tumor | esophagogastric junction cancer | esophageal cancer | non-small cell lung cancer,phase 1,phase 1,phase 1,unclear,,,,,4,1,"{""ACTIVE_NOT_RECRUITING"": 1, ""COMPLETED"": 1, ""SUSPENDED"": 1, ""WITHDRAWN"": 1}",NCT04432857,NCT05358691,NCT04432857|NCT04975958|NCT05191667|NCT05358691,,Adlai Nortye is Chinese-founded with a US dual presence; studied in combination with checkpoint inhibitors (pembrolizumab/atezolizumab).
AN4005,AN4005,AN4005,,Adlai Nortye,Hangzhou,medium,prior_knowledge,,,unknown,,,,advanced tumors,tumors,phase 1,phase 1,phase 1,unclear,,,,,1,1,"{""RECRUITING"": 1}",NCT04999384,NCT04999384,NCT04999384,,AN prefix is consistent with Adlai Nortye's code convention (also see AN2025/AN0025); specific mechanism of AN4005 not confidently recalled.
AN9025,AN9025,AN9025,,Adlai Nortye,"Hangzhou, Zhejiang",medium,prior_knowledge,possibly pan-RAS or RAS-pathway inhibitor (inferred from RAS-mutant selection),,small molecule,,,,solid tumors (RAS-mutant),solid tumors,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07252479,NCT07252479,NCT07252479,,"Adlai Nortye (Hangzhou, also Princeton NJ office; Nasdaq-listed) is Chinese-founded with known programs including buparlisib (PI3K) and an EP4 antagonist; AN9025 target is inferred from the RAS-mutant enrollment criterion, not specifically recalled."
AN2025,buparlisib,AN2025|BKM120,buparlisib,Adlai Nortye,Hangzhou,medium,prior_knowledge,PI3K (pan),pan-PI3K inhibitor,small molecule,,,,advanced solid tumors,solid tumor,phase 1,phase 1,phase 1,active,retained,Novartis (original developer/licensor),,,1,0,"{""COMPLETED"": 1}",NCT04975958,NCT04975958,NCT04975958,,"AN2025 is recalled as buparlisib (BKM120), a pan-PI3K inhibitor originally developed by Novartis and in-licensed by Adlai Nortye, combined here with AN0025 (EP4 antagonist) and atezolizumab. Adlai Nortye is Chinese-founded (Hangzhou) with a Nasdaq listing (ANL); classified CN given its China-based R&D origin."
AL3810,lucitanib,AL3810|E-3810|X-82,lucitanib,Advenchen Laboratories,"Shanghai (R&D) / Chino Hills, CA (corporate)",medium,prior_knowledge,VEGFR|FGFR|PDGFR,multi-target angiokinase inhibitor (VEGFR1-3/FGFR1-3/PDGFR-alpha/beta),small molecule,Fibroblast growth factor receptor 1 inhibitor [Fibroblast growth factor receptor 1] | Fibroblast growth factor receptor 2 inhibitor [Fibroblast growth factor receptor 2] | Vascular endothelial growth factor receptor inhibitor [Vascular endothelial growth factor receptor],Small molecule,CHEMBL2220486,small cell lung cancer,small cell lung cancer,phase 2/3,phase 2/3,phase 2/3,unclear,partnered,Historically licensed to Clovis Oncology / Servier for ex-China rights; China development largely retained by Advenchen and Chinese partners,,,1,0,"{""UNKNOWN"": 1}",NCT04254471,NCT04254471,NCT04254471,,Advenchen Laboratories has dual US/China presence (significant R&D in Shanghai); classified CN with medium confidence given China-centric conduct of this SCLC trial.
AL8326,veonetinib,AL8326,veonetinib,Advenchen Laboratories,,medium,prior_knowledge,VEGFR/multi-kinase,multi-target receptor tyrosine kinase inhibitor,small molecule,,,,small cell lung cancer | non-small cell lung cancer | advanced solid tumor | renal cell carcinoma,small cell lung cancer | non-small cell lung cancer | advanced solid tumor | renal cell carcinoma | solid tumors,phase 3,phase 3,phase 3,active,unknown,,,,8,4,"{""UNKNOWN"": 3, ""RECRUITING"": 3, ""ACTIVE_NOT_RECRUITING"": 1, ""COMPLETED"": 1}",NCT04890587,NCT07392736,NCT04890587|NCT04890795|NCT05363280|NCT05486598|NCT06247605|NCT06794957|NCT07132957|NCT07392736,,"Advenchen Laboratories is nominally US-registered (PA/CA) but Chinese-founded with R&D/clinical development conducted largely in China (cf. its anlotinib/AL3818, licensed to Chia Tai Tianqing); classified CN on that basis — a judgment call worth flagging."
AK001,AK001,AK001,,Akeso,"Zhongshan/Guangzhou, Guangdong",medium,prior_knowledge,,,monoclonal antibody,,,,atopic disease | nasal polyposis,allergic disease | nasal polyposis,phase 2,phase 2,phase 2,unclear,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT02563938,NCT02734849,NCT02563938|NCT02734849,,AK-prefix consistent with Akeso's naming convention; specific target not confidently recalled.
AK006,AK006,AK006,,Akeso,Zhongshan,high,prior_knowledge,,monoclonal antibody,monoclonal antibody,,,,chronic spontaneous urticaria,chronic spontaneous urticaria,phase 1,phase 1,phase 1,active,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT06072157,NCT06577116,NCT06072157|NCT06577116,,"Akeso's AK-numbered pipeline is large (AK104 cadonilimab, AK112 ivonescimab, AK117 anti-CD47, etc.); exact AK006 target not confidently recalled."
AK102,AK102,AK102,,Akeso,Zhongshan / Guangzhou,high,prior_knowledge,PCSK9,"anti-PCSK9 monoclonal antibody, lipid-lowering",monoclonal antibody,,,,primary hypercholesterolemia | mixed hyperlipidemia | familial hypercholesterolemia | cardiovascular disease,primary hypercholesterolemia | mixed hyperlipidemia | familial hypercholesterolemia | hypercholesterolemia | cardiovascular disease,phase 3,phase 3,phase 3,active,unknown,,,,8,0,"{""COMPLETED"": 8}",NCT03933293,NCT05260411,NCT03933293|NCT04169386|NCT04173403|NCT04173793|NCT04358432|NCT05255094|NCT05255458|NCT05260411,,Akeso is best known for cadonilimab/ivonescimab; AK102 PCSK9 program recalled with medium-high confidence.
AK114,AK114,AK114,,Akeso,Zhongshan,high,prior_knowledge,,"bispecific antibody (suspected, per Akeso's typical pipeline pattern)",bispecific/multispecific antibody,,,,advanced/metastatic solid tumors,solid tumor,phase 1,phase 1,phase 1,unclear,,,,,1,0,"{""UNKNOWN"": 1}",NCT05200273,NCT05200273,NCT05200273,,"AK prefix is Akeso's standard code convention (e.g. AK104 cadonilimab PD-1xCTLA-4, AK112 ivonescimab PD-1xVEGF); AK114's specific target combination not confidently recalled."
AK117,AK117,AK117,,Akeso,"Zhongshan/Guangzhou, Guangdong",high,prior_knowledge,CD47,anti-CD47 monoclonal antibody (macrophage checkpoint inhibitor),monoclonal antibody,,,,solid tumors|lymphoma|acute myeloid leukemia|myelodysplastic syndrome|head and neck squamous cell carcinoma,malignant tumor | solid tumors | lymphomas | acute myeloid leukemia | head and neck squamous cell carcinoma | myelodysplastic syndrome | triple-negative breast cancer | colorectal cancer,phase 3,phase 3,phase 3,active,unknown,,,,17,13,"{""COMPLETED"": 3, ""ACTIVE_NOT_RECRUITING"": 5, ""UNKNOWN"": 1, ""RECRUITING"": 6, ""NOT_YET_RECRUITING"": 2}",NCT04349969,NCT07245446,NCT04349969|NCT04728334|NCT04900350|NCT04980885|NCT05214482|NCT05227664|NCT05229497|NCT05235542|NCT05382442|NCT05960955|NCT06196203|NCT06387420|NCT06508606|NCT06601335|NCT06642792|NCT06953999|NCT07245446,,Often studied in combination with Akeso's AK104 (cadonilimab).
AK119,AK119,AK119,,Akeso,Zhongshan / Guangzhou,high,prior_knowledge,CD73,"anti-CD73 monoclonal antibody, often studied in combination with AK112 (ivonescimab, PD-1xVEGF bispecific)",monoclonal antibody,,,,solid tumors | advanced solid tumors | non-small cell lung cancer | colorectal cancer,solid tumors | advanced solid tumors | epidermal growth factor receptor tyrosine kinase inhibitor treatment failure | non-small cell lung cancer | colorectal cancer,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,7,2,"{""COMPLETED"": 3, ""TERMINATED"": 2, ""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",NCT04516564,NCT05846867,NCT04516564|NCT04572152|NCT05173792|NCT05559541|NCT05636267|NCT05689853|NCT05846867,,
AK129,AK129,AK-129|AK129,,Akeso,Zhongshan,high,web_verified,PD-1 x LAG-3,anti-PD-1/LAG-3 bispecific antibody,bispecific/multispecific antibody,,,,advanced solid tumors|HER2-negative gastric/GEJ adenocarcinoma (1L with chemo +/- cadonilimab)|classic Hodgkin lymphoma after PD-1 failure (+/- AK117 anti-CD47)|NSCLC|HNSCC|colorectal cancer,malignant tumor | gastroesophageal junction adenocarcinoma | gastric cancer | classic Hodgkin lymphoma | head and neck squamous cell carcinoma | non-small cell lung cancer | colorectal adenocarcinoma,phase 1/2,phase 1/2,phase 1/2,active,retained,,"Phase 1a/1b monotherapy (NCT05645276) recruiting since Mar 2023; multiple Phase 1b/2 combination studies opened 2024-2025 in G/GEJ, cHL and solid tumors; no efficacy readout located offline.",,4,4,"{""RECRUITING"": 3, ""NOT_YET_RECRUITING"": 1}",NCT05645276,NCT06943820,NCT05645276|NCT06586294|NCT06642792|NCT06943820,https://clinicaltrials.gov/study/NCT05645276|https://clinicaltrials.gov/study/NCT06586294|https://clinicaltrials.gov/study/NCT06642792|https://www.akesobio.com,Mechanism confirmed from registry titles. Offline verification only.
AK131,AK131,AK131,,Akeso,Zhongshan/Guangzhou,high,prior_knowledge,PD-1 x CD73,bispecific antibody,bispecific/multispecific antibody,,,,triple negative breast cancer | advanced solid tumors,triple negative breast cancer | solid tumor,phase 2,phase 2,phase 2,active,unknown,,,,2,2,"{""RECRUITING"": 2}",NCT05076682,NCT06166888,NCT05076682|NCT06166888,,Confirmed anti-PD-1/CD73 bispecific from sample trial title.
AK132,AK132,AK132,,Akeso,"Zhongshan, Guangdong",high,prior_knowledge,CLDN18.2 x CD47,Bispecific antibody targeting Claudin 18.2 and CD47 (dual tumor-targeting plus myeloid checkpoint blockade),bispecific/multispecific antibody,,,,advanced malignant solid tumors (gastrointestinal cancers likely),malignant solid tumor,phase 1,phase 1,phase 1,active,unknown,,,Among the first CLDN18.2 x CD47 bispecifics in clinic,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT06166472,NCT06166472,NCT06166472,,"Akeso is well known for its AK-series bispecifics (e.g., AK104 cadonilimab, AK112 ivonescimab)."
AK135,AK135,AK135,,Akeso,"Zhongshan, Guangdong",high,prior_knowledge,,,unknown,,,,chemotherapy-induced peripheral neuropathy,peripheral neuropathy,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT06860789,NCT06860789,NCT06860789,,"Akeso (Zhongshan, Guangdong) is primarily known for immuno-oncology bispecifics (AK104 cadonilimab, AK112 ivonescimab, licensed to Summit Therapeutics for ex-China). AK135 for CIPN is an unusual non-oncology-mechanism indication for them; specific modality/target not confidently recalled."
AK137,AK137,AK137,,Akeso,Zhongshan/Guangzhou,high,prior_knowledge,CD73 x LAG-3,bispecific antibody targeting CD73 and LAG-3,bispecific/multispecific antibody,,,,malignant tumor,malignant tumor,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT06691360,NCT06691360,NCT06691360,,"Akeso is well known for AK112/ivonescimab (PD-1 x VEGF bispecific, licensed to Summit Therapeutics for ex-China rights)."
AK139,AK139,AK139,,Akeso,"Zhongshan, Guangdong",high,prior_knowledge,possibly TSLP or IL-4Ra,monoclonal antibody targeting a type-2 inflammation cytokine pathway; exact target not confidently recalled,monoclonal antibody,,,,asthma | seasonal allergic rhinitis | atopic dermatitis,asthma | seasonal allergic rhinitis | atopic dermatitis,phase 2,phase 2,phase 2,active,unknown,,,,4,4,"{""NOT_YET_RECRUITING"": 4}",NCT06947109,NCT07502222,NCT06947109|NCT07436221|NCT07436234|NCT07502222,,"Akeso (Zhongshan, Guangdong) has a broad antibody pipeline beyond its flagship PD-1/VEGF bispecific ivonescimab, including immunology assets. AK139's indication spread (asthma/allergic rhinitis/AD) suggests a type-2 inflammation target (e.g., TSLP or IL-4Ra); not confidently recalled."
AK150,AK150,AK150,,Akeso,Zhongshan / Guangzhou,high,prior_knowledge,,,unknown,,,,malignant solid tumor,malignant solid tumor,phase 1,phase 1,phase 1,active,,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT07566247,NCT07566247,NCT07566247,,AK15x is a newer/high number in Akeso's AK-series; no confident recall of target.
AK152,AK152,AK152,,Akeso,"Zhongshan, Guangdong",high,prior_knowledge,,,unknown,,,,Alzheimer's disease,Alzheimer's disease,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT07301502,NCT07301502,NCT07301502,,"Akeso (Zhongshan) is primarily known for oncology/immunology bispecifics (cadonilimab, ivonescimab); an Alzheimer's disease program (AK152) is an unusual departure from its typical pipeline and I do not have confident recall of the specific target/mechanism - flagging low confidence on asset specifics though sponsor identity itself is high confidence."
AK154,AK154,AK154,,Akeso,"Zhongshan, Guangdong",high,prior_knowledge,personalized tumor neoantigens,personalized neoantigen mRNA cancer vaccine,vaccine,,,,pancreatic ductal adenocarcinoma,pancreatic adenocarcinoma | pancreatic ductal adenocarcinoma,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT06913218,NCT06913218,NCT06913218,,"Combined with Akeso's own AK104 (cadonilimab, PD-1/CTLA-4 bispecific) and/or AK112 (ivonescimab, PD-1/VEGF bispecific) plus mFOLFIRINOX as adjuvant therapy for resectable PDAC."
AK106,ak-106,AK106,ak-106,Akeso,"Zhongshan/Guangzhou, Guangdong",low,prior_knowledge,,,small molecule,,Small molecule,CHEMBL4297481,rheumatoid arthritis,rheumatoid arthritis,phase 2,phase 2,phase 2,unclear,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT00902369,NCT01285752,NCT00902369|NCT01285752,,"AK-prefix generally matches Akeso's naming convention, but raw name 'AK106-001616' looks like a different internal numbering and I have no specific recall of this asset in Akeso's known (antibody-focused) pipeline; possible collision with an unrelated 'AK'-coded compound. Low confidence."
cardonilizumab,cadonilimab,AK-104|AK104|cadonilimab|candonilimab|cardonilizumab,cadonilimab,Akeso,Zhongshan,high,web_verified,PD-1 x CTLA-4,PD-1/CTLA-4 bispecific antibody (dual immune checkpoint inhibitor),bispecific/multispecific antibody,Cytotoxic T-lymphocyte protein 4 inhibitor [Cytotoxic T-lymphocyte protein 4] | Programmed cell death protein 1 inhibitor [Programmed cell death protein 1],Antibody,CHEMBL4594456,cervical cancer|gastric/GEJ adenocarcinoma|hepatocellular carcinoma|esophageal squamous cell carcinoma|biliary tract cancer|colorectal cancer liver metastases|non-small cell lung cancer,hepatocellular carcinoma | cervical cancer | non-small cell lung cancer | esophageal squamous cell carcinoma | colorectal cancer | gastroesophageal junction adenocarcinoma | gastric adenocarcinoma | gastric cancer,approved (China),approved (China),phase 3,active,retained,,"NMPA approved 1L cervical cancer (all-comers, with platinum chemo +/- bevacizumab) in June 2025 based on Phase 3 COMPASSION-16 (PFS and OS met, benefit also in PD-L1 CPS<1), the third China indication after 2L cervical (2022) and 1L gastric (2024). Dec 2025: FDA cleared global Phase 3 COMPASSION-37 (1L gastric, vs chemo +/- nivolumab); Aug 2025: NMPA/FDA cleared global registrational COMPASSION-36 (cadonilimab + lenvatinib in PD-1-resistant HCC).","First-in-class PD-1/CTLA-4 bispecific and the first approved dual immune checkpoint bispecific antibody (China, June 2022).",215,146,"{""COMPLETED"": 19, ""TERMINATED"": 4, ""UNKNOWN"": 44, ""ACTIVE_NOT_RECRUITING"": 23, ""RECRUITING"": 82, ""NOT_YET_RECRUITING"": 39, ""WITHDRAWN"": 2, ""ENROLLING_BY_INVITATION"": 2}",NCT03261011,NCT07586904,NCT03261011|NCT03852251|NCT04172454|NCT04220307|NCT04349969|NCT04380805|NCT04444141|NCT04444167|NCT04544644|NCT04547101|NCT04556253|NCT04572152|NCT04646330|NCT04647344|NCT04728321|NCT04868708|NCT04982237|NCT04982276|NCT05008783|NCT05021120|NCT05063916|NCT05142423|NCT05215067|NCT05227651|NCT05235516|NCT05235542|NCT05256472|NCT05319431|NCT05377658|NCT05426005|NCT05430906|NCT05489289|NCT05505825|NCT05522894|NCT05559541|NCT05559554|NCT05571644|NCT05578430|NCT05587374|NCT05594914|NCT05644379|NCT05644392|NCT05687851|NCT05732662|NCT05737368|NCT05747716|NCT05760599|NCT05773105|NCT05781958|NCT05784974|NCT05790200|NCT05792735|NCT05794750|NCT05800080|NCT05808608|NCT05812534|NCT05815290|NCT05815303|NCT05816499|NCT05817214|NCT05820906|NCT05821361|NCT05824481|NCT05824494|NCT05833971|NCT05839470|NCT05853172|NCT05856864|NCT05859750|NCT05868876|NCT05882370|NCT05886257|NCT05896787|NCT05898256|NCT05901584|NCT05904379|NCT05913570|NCT05915481|NCT05925413|NCT05926700|NCT05930665|NCT05932212|NCT05944224|NCT05947201|NCT05948449|NCT05960955|NCT05974059|NCT05978609|NCT05980689|NCT05990127|NCT05990231|NCT05994001|NCT06001151|NCT06009848|NCT06023875|NCT06035224|NCT06040177|NCT06062589|NCT06066216|NCT06074484|NCT06092645|NCT06118645|NCT06138496|NCT06140589|NCT06143748|NCT06145308|NCT06153368|NCT06155422|NCT06168786|NCT06178601|NCT06187961|NCT06196697|NCT06196775|NCT06202313|NCT06202716|NCT06209294|NCT06215651|NCT06218810|NCT06221748|NCT06241599|NCT06251388|NCT06265350|NCT06277674|NCT06280105|NCT06289751|NCT06310473|NCT06327698|NCT06331650|NCT06335927|NCT06341335|NCT06341660|NCT06349967|NCT06356688|NCT06361758|NCT06367075|NCT06367088|NCT06371157|NCT06383533|NCT06401005|NCT06405490|NCT06406426|NCT06406634|NCT06406673|NCT06416930|NCT06421376|NCT06424626|NCT06424821|NCT06426797|NCT06427057|NCT06438822|NCT06444009|NCT06448910|NCT06455046|NCT06455254|NCT06467500|NCT06472037|NCT06477523|NCT06487702|NCT06492317|NCT06494995|NCT06511726|NCT06519591|NCT06530251|NCT06532539|NCT06532591|NCT06532617|NCT06540729|NCT06542549|NCT06551207|NCT06553781|NCT06560112|NCT06566755|NCT06577961|NCT06586294|NCT06587425|NCT06617416|NCT06620796|NCT06646055|NCT06650332|NCT06654011|NCT06664983|NCT06681285|NCT06702826|NCT06714084|NCT06715501|NCT06728631|NCT06762080|NCT06769971|NCT06789848|NCT06793813|NCT06832917|NCT06851104|NCT06878196|NCT06913218|NCT06940921|NCT06946836|NCT06949033|NCT06984718|NCT06998394|NCT07003022|NCT07023315|NCT07052253|NCT07079462|NCT07104149|NCT07243951|NCT07245446|NCT07263919|NCT07400536|NCT07412613|NCT07446257|NCT07449780|NCT07450963|NCT07544784|NCT07556640|NCT07586904,https://www.akesobio.com/en/media/akeso-news/250605/|https://www.akesobio.com/en/media/akeso-news/251212/|https://www.prnewswire.com/news-releases/akesos-cadonilimab-pd-1ctla-4-the-first-dual-immune-checkpoint-inhibitor-to-treat-cancer-approved-for-marketing-in-china-301577866.html,"'cardonilizumab' appears to be a variant spelling of cadonilimab (AK104). In this trial combined with LM-302 (a Claudin18.2 ADC from LaNova Medicines). || Also filed under dev code AK104 (see separate row, same molecule). || Development code for cadonilimab (see separate row); same molecule, duplicate entry in dataset. || asset_key 'candonilimab' is a misspelling of cadonilimab (AK104) used in investigator-initiated trial records. Global rights retained by Akeso."
